№ п/п;"№ Відділення ТОВ ""ЕПС""";Адреса;Партнер
130;1010138;85323, Донецька обл., місто Мирноград, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 18;delivery
131;1010139;35063, Рівненська обл., місто Дубно, ВУЛИЦЯ СТЕФАНИКА, будинок 6;delivery
132;1010141;77304, Івано-Франківська обл., м.Калуш, вул.Каракая, 24;delivery
133;1010142;41300, Сумська обл., Кролевецький район, місто Кролевець, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 15;delivery
134;1010143;66101, Одеська обл, м.Балта, вул.Садова, 11;delivery
135;1010144;75700, Херсонська обл., Скадовський р-н., м.Скадовськ, вул.В`ячеслава Чорновола, 103;delivery
136;1010145;89427, Закарпатська обл., Ужгородський р-н., с.Минай, вул. Патруса Карпатського, 13-А;delivery
137;1010146;89427, Тернопільська обл., м.Бережани, вул. Привокзальна, 1;delivery
138;1010147;82200, Львівська обл., Дрогобицький р-н., м.Трускавець, вул.Мазепи, 42-Б;delivery
139;1010148;86060, Донецька обл., місто Авдіївка, ПРОСПЕКТ ІНДУСТРІАЛЬНИЙ, будинок 1;delivery
140;1010149;64102, Харківська обл., місто Первомайський, 1/2 МІКРОРАЙОН, будинок 55;delivery
141;1010150;02222, м.Київ, Деснянський район, ВУЛИЦЯ ЕЛЕКТРОТЕХНІЧНА, будинок 43-А;delivery
142;1010151;04119, м.Київ, Шевченківський район, ВУЛИЦЯ СІМ`Ї ХОХЛОВИХ, будинок 11/2;delivery
143;1010152;33027, Рівненська обл., м.Рівне, ВУЛИЦЯ Данила Галицького, будинок 27;delivery
144;1010153;20202, Черкаська обл, Звенигородський р-н., м.Звенигородка, вул.В’ячеслава Липинського, 27;delivery
145;1010154;68610, Одеська обл, м.Ізмаїл, вул.Шевченка, 120;delivery
146;1010155;73008, Херсонська обл., м.Херсон, Дніпровський р-н., вул.Ладичука, 150;delivery
147;1010156;51205, Дніпропетровська обл., м.Новомосковськ, вул.Спаська,16;delivery
148;1010157;37503, Полтавська обл., м.Лубни, проспект Вoлодимирський, 94-А;delivery
149;1010158;41500, Сумська обл., Путивльський р-н., м.Путивль, вул.Кузнечна, 28;delivery
150;1010159;70608, Запорізька обл., Пологівський р-н., м.Пологи, вул.Шевченка, 6;delivery
151;1010160;93106, Луганська обл., м.Лисичанськ, вул. Володимира Сосюри, 131-Б;delivery
152;1010161;58015, Чернівецька обл., м.Чернівці, вул. Калинівська, 13-В;delivery
153;1010162;08298, Київська обл., смт.Коцюбинське, вул. Пономарьова, 17;delivery
154;1010163;27500, Кіровоградська обл., м.Світловодськ, вул. Приморська, 38-А;delivery
155;1010164;37300, Полтавська обл., м.Гадяч, вул. Лесі Українки, 1-А;delivery
156;1010166;65101, Одеська обл., м.Одеса, Київський р-н., проспект Небесної Сотні, 4-7;delivery
157;1010167;58023, Чернівецька обл., м.Чернівці, вул. Олени Пчілки, 10;delivery
158;1010168;11501, Житомирська обл., Коростенський р-н., м.Коростень, вул. Шевченка, 2;delivery
159;1010169;54052, Миколаївська обл., м.Миколаїв, Корабельний р-н., вул.Доктора Самойловича, 35;delivery
160;1010172;42600, Сумська обл., м.Тростянець, вул.Благовіщенська, 58-А;delivery
161;1010173;63702, Харківська обл., м.Куп`янськ, вул.Сватівська, 56;delivery
162;1010176;67633, Одеська обл., Одеський р-н., с.Латівка, вул.Живахова гора, 1;delivery
163;1010177;30002, Хмельницька обл., Шепетівський р-н., м.Славута, вул.Миру, 104;delivery
164;1010178;28000, Кіровоградська обл., м.Олександрія, вул.Діброви, 16;delivery
165;1010179;28000, Волинська обл., Горохівський р-н., м.Горохів, вул.Козацька,23;delivery
166;1010180;69063, Запорізька обл., м.Запоріжжя, Комунарський р-н., вул.Сергія Серікова, 30;delivery
167;2150001;01001, м.Київ, Печерський р-н., вул.Хрещатик, 15/4;sirykav
168;1010181;61052, Харківська обл., м.Харків, Новобаварський р-н., вул.Мала Гончарівська 17;delivery
