№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
942;1890013;;;01133;м.;Київ;Печерський;бульвар;Лесі Українки;24;;;;01133, м.Київ, Печерський р-н., бульвар Лесі Українки, 24;8038200000;UA80000000000624772
943;1890014;;;01001;м.;Київ;;вулиця;Хрещатик;21, приміщення 125-125-А;;;;01001, м.Київ, Шевченківський р-н., вул.Хрещатик, 21, приміщення 125-125-А;8039100000;UA80000000001078669
944;1890015;Дніпропетровська;;49005;м.;Дніпро;Соборний;проспект;Гагаріна;8-А;;;;49005, Дніпропетровська обл., м.Дніпро, Соборний р-н., проспект Гагаріна, 8-А;1210136900;UA12020010010512802
945;1890016;Одеська;;65111;м.;Одеса;Суворовський;проспект;Добровольського;114;;;;65111, Одеська обл., м.Одеса, Суворовський р-н., проспект Добровольського, 114;5110137600;UA51100270010413116
946;1890017;Одеська;;65045;м.;Одеса;Приморський;вулиця;Преображенська;34;;;;65045, Одеська обл., м.Одеса, Приморський р-н., вул.Преображенська, 34;5110137500;UA51100270010320268
947;1890018;Одеська;;65074;м.;Одеса;Малиновський;вулиця;Академіка Філатова;41/1;;;;65074, Одеська обл., м.Одеса, Малиновський р-н., вул.Академіка Філатова, 41/1;5110137300;UA51100270010275193
948;1890019;Харківська;;61003;м.;Харків;Шевченківський;;майдан Конституції;1;;;;61003, Харківська обл., м.Харків, Шевченківський р-н., майдан Конституції, 1;6310136300;UA63120270010948820
949;1890020;Дніпропетровська;;50084;м.;Кривий Ріг;Саксаганський;проспект;200-РІЧЧЯ КРИВОГО РОГУ;14-А;;;;50084, Дніпропетровська обл., м.Кривий Ріг, Саксаганський р-н., проспект 200-річчя Кривого Рогу, 14-А;1211037000;UA12060170010585703
950;1890021;Дніпропетровська;;50006;м.;Кривий Ріг;Металургійний;вулиця;СОБОРНОСТІ;4-А;;;;50006, Дніпропетровська обл., м.Кривий Ріг, Металургійний р-н., вул.Соборності, 4-А;1211036300;UA12060170010378670
951;1890022;Дніпропетровська;;53213;м.;Нікополь;;проспект;ТРУБНИКІВ;14;;;;53213, Дніпропетровська обл., м.Нікополь, проспект Трубників, 14;1211600000;UA12080050000062712
952;1890023;Дніпропетровська;;51933;м.;Кам`янське;Заводський;проспект;СВОБОДИ;51;;;;51933, Дніпропетровська обл., м.Кам`янське, Заводський р-н., проспект Свободи, 51;1210436900;UA12040150010213957
953;1890024;Дніпропетровська;;50027;м.;Кривий Ріг;Металургійний;проспект;Металургів;42-А;;;;50027, Дніпропетровська обл., м.Кривий Ріг, Металургійний р-н., проспект Металургів, 42-А;1211036300;UA12060170010378670
954;1890025;Дніпропетровська;;50002;м.;Кривий Ріг;Центрально-Міський;вулиця;Лермонтова;37;;;;50002, Дніпропетровська обл., м.Кривий Ріг, Центрально-Міський р-н., вул.Лермонтова, 37;1211037500;UA12060170010720279
955;1890026;Івано-Франківська;;76003;м.;Івано-Франківськ;;вулиця;Івана Миколайчука;2;;;;76003, Івано-Франківська обл., м.Івано-Франківськ, вул.Івана Миколайчука, 2;2610100000;UA26040190000081578
