№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
220;1010220;Херсонська;;73034;м.;Херсон;Корабельний;вулиця;Робоча;82-А;;;;73034, Херсонська обл., м.Херсон, Корабельний р-н., вул.Робоча, 82-А;6510136600;UA65100150010217771
221;1010221;Івано-Франківська;Городенківський;78103;м.;Городенка;;вулиця;Затишна;36;;;;78103, Івано-Франківська обл., Городенківський р-н.,м.Городенка, вул.Затишна, 36;2621610100;UA26080030010035324
222;1010222;Тернопільська;Шумський;47101;м.;Шумськ;;вулиця;Вілійська;6-Г;;;;47101, Тернопільська обл., Шумський р-н., м.Шумськ, вул. Вілійська, 6-Г;6125810100;UA61020150010042611
223;1010223;Донецька;;84511;м.;Бахмут;;вулиця;Різдвяна;27;;;;84511, Донецька обл., м.Бахмут, вул.Різдвяна, 27;1410300000;UA14020010010059145
224;1010224;Київська;Макарівський;08001;м.;Макарів;;вулиця;Гагаріна;8;;;;08001, Київська обл., Макарівський р-н., м.Макарів, вул.Гагаріна, 8;3222755100;UA32080190010023112
225;1010225;Запорізька;Оріхівський;70504;м.;Оріхів;;вулиця;Марії Сокіл;28;;;;70504, Запорізька обл., Оріхівський р-н., м.Оріхів, вул.Марії Сокіл, 28;2323910100;UA23100170010023304
226;1010226;Харківська;;61000;м.;Харків;Холодногірський;вулиця;Кононенка;ряд 21-А, місце 7;;;;61000, Харківська обл., м.Харків, Холодногірський р-н., вул.Кононенка, ряд 21-А, місце 7;6310137200;UA63120270010877312
227;1010227;Житомирська;Бердичівський;13306;м.;Бердичів;;вулиця;ПРИВОКЗАЛЬНА;3;;;;13306, Житомирська обл., Бердичівський р-н., м.Бердичів, вул.Привокзальна, 3;1810400000;UA18020030010047029
228;1010228;Вінницька;;;м.;Ямпіль;;вулиця;Богдана Хмельницького;44/84;;;;Вінницька обл., Ямпільський р-н. м.Ямпіль, вулиця Богдана Хмельницького, 44/84;4810136900;UA48060150010235917
229;1010229;Київська;Фастівський;08623;смт.;Калинівка;;вулиця;Залізнична;164;;;;08623, Київська обл., Фастівський  р-н., смт.Калинівка, вул.Залізнична, 164;3221455800;UA32140090010093169
230;1010230;Дніпропетровська;Нікопольський;53407;м.;Марганець;;вулиця;Кленова;12-А;;;;53407, Дніпропетровська обл., Нікопольський р-н., м.Марганець, вул.Кленова, 12-А;1211300000;UA12080010010085669
231;1010231;Дніпропетровська;;51937;м.;Кам`янське;Дніпровський;проспект;Наддніпрянський;1-Б;;;;51937, Дніпропетровська обл., м.Кам`янське, Дніпровський р-н.,  проспект Наддніпрянський, 1-Б;1210436600;UA12040150010118924
232;1010232;Полтавська;Миргородський;37600;м.;Миргород;;вулиця;Данила Апостола;38;;;;37600, Полтавська обл., Миргородський р-н., м.Миргород, вул.Данила Апостола, 38;5310900000;UA53060230010027681
233;1010233;Чернігівська;;14013;м.;Чернігів;Деснянський;вулиця;Боднарука;28;;;;14013, Чернігівська обл., м.Чернігів, Деснянський р-н., вул.Любомира Боднарука, 28;7410136300;UA74100390010122363
234;1010234;Одеська;Болградський;68702;м.;Болград;;проспект;СОБОРНИЙ;108;;;;68702, Одеська обл., Болградський р-н., м.Болград, проспект Соборний, 108;5121410100;UA51060030010048411
235;1010235;Одеська;Роздільнянський;67400;м.;Роздільна;;вулиця;Європейська;52;;;;67400, Одеська обл., Роздільнянський р-н., м.Роздільна, вул.Європейська, 52;5123910100;UA51140130010040641
236;1010236;Житомирська;Житомирський;12501;м.;Коростишів;;вулиця;Героїв Небесної Сотні;68;;;;12501, Житомирська обл., Житомирський  р-н., м.Коростишів, вул.Героїв небесної сотні, 68;1822510100;UA18040250010085012
237;1010237;Донецька;;84331;м.;Краматорськ;;вулиця;Ювілейна;70;;;;84331, Донецька обл., м.Краматорськ, вул.Ювілейна, 70;1412900000;UA14120090010038661
238;1010238;Львівська;Мостиський;81300;м.;Мостиська;;вулиця;Зелена;7-А;;;;81300, Львівська обл., Мостиський р-н., м.Мостиська, вул.Зелена 7-А;4622410100;UA46140030010062678
239;1010239;Львівська;Пустомитівський;81100;м.;Пустомити;;вулиця;Грушевського;92;;;;81100, Львівська обл., Пустомитівський р-н., м.Пустомити, вул.Грушевського, 92;4623610100;UA46060370010036941
240;1010240;Полтавська;Диканський;38500;смт.;Диканька;;вулиця;Незалежності;58/1;;;;38500, Полтавська обл., Диканський р-н., смт.Диканька, вул.Незалежності, 58/1;5321055100;UA53080050010011580
241;1010241;Одеська;Саратський;68200;смт.;Сарата;;вулиця;Чкалова;50/1;;;;68200, Одеська обл., Саратський р-н., смт.Сарата, вул.Чкалова, 50/1;5124555100;UA51040190010067512
242;1010242;Харківська;Харківська;62400;м.;Мерефа;;вулиця;Дніпропетровська;185-З;;;;62400, Харківська обл., Харківський р-н., м.Мерефа, вул.Дніпропетровська, 185-З;6325110700;UA63120150010020962
243;1010243;Львівська;Львівський;80400;м.;Кам`янка-Бузька;;вулиця;Генерала Чупринки;15;;;;80400, Львівська обл., Львівський р-н.,  м.Кам`янка-Бузька, вул.Генерала Чупринки, 15;4622110100;UA46060190010052224
244;1010244;Львівська;Золочівський;80700;м.;Золочів;;вулиця;Труша;2-А;;;;80700, Львівська обл., Золочівський р-н., м.Золочів, вул.Труша, 2-А;4621810100;UA46040070010068975
245;1010245;Донецька;;84205;м.;Дружківка;;вулиця;Чайковського;12;;;;84205, Донецька обл., м. Дружківка, вул. Чайковського, 12;1411700000;UA14120030010055241
246;1010246;Хмельницька;Шепетівський;30405;м.;Шепетівка;;вулиця;Героїв Небесної Сотні;78;;;;30405, Хмельницька обл., Шепетівський р-н., м.Шепетівка, вул.Героїв Небесної Сотні, 78;6810700000;UA68060330010023704
247;1010247;Львівська;Львівський;80383;с.;Малехів;;вулиця;ім.Тараса Козака;20;;;;80383,  Львівська обл., Львівський р-н., с.Малехів, вул. ім.Тараса Козака, 20;4622785701;UA46060250140022433
248;1010248;Рівненська;Рівненський;35312;смт.;Клевань;;вулиця;Залізнична;4-Г;;;;35312, Рівненська обл., Рівненський р-н., смт.Клевань, вул.Залізнична, 4-Г;5624655400;UA56060290010049434
249;1010249;Дніпропетровська;Кам`янський;50019;м.;Жовті Води;;вулиця;Заводська;1/1;;;;50019, Дніпропетровська обл., Кам`янський р-н., м.Жовті Води, вул.Заводська, 1/1;1210700000;UA12040110010051141
250;1010250;Дніпропетровська;;51700;м.;Вільногірськ;;вулиця;Степова;9;;;;51700, Дніпропетровська обл., м.Вільногірськ, вул.Степова, 9;1210200000;UA12040090010047409
251;1010251;Одеська;;65074;м.;Одеса;Малиновський;вулиця;Шота Руставелі;7;;;;65074, Одеська обл., м.Одеса, Малиновський р-н., вул.Шота Руставелі, 7;5110137300;UA51100270010275193
