num;department;termial;serial_number;address;datalog;kind
230;1010001;10100014;FK80230603;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
231;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
232;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
233;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
234;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;21.01.2022;pereezd
235;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;21.01.2022;rro
236;1010005;10100057;FK80230898;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;21.01.2022;rro
237;1010005;10100058;FK80230653;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;21.01.2022;rro
238;1010005;10100059;FK80230654;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;21.01.2022;rro
239;1010006;10100061;КС00002388;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;21.01.2022;rro
240;1010006;10100062;FK80230655;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;21.01.2022;rro
241;1010006;10100063;FK80230660;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;21.01.2022;rro
242;1010006;10100064;FK80230965;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;21.01.2022;rro
243;1010006;10100065;FK80230661;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;21.01.2022;rro
244;1010006;10100066;FK80230833;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;21.01.2022;rro
245;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;28.01.2022;rro
246;1010115;10101151;КМ00004801;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;28.01.2022;rro
247;1010120;10101201;КМ00005053;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 66-1;28.01.2022;rro
248;1890001;18900011;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;31.01.2022;rro
249;1890008;18900081;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;31.01.2022;rro
250;1890001;18900011;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;31.01.2022;prro
251;1890008;18900081;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;31.01.2022;prro
252;1890008;18900081;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;31.01.2022;prro
253;1890001;18900011;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;31.01.2022;rro
254;1890008;18900081;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;31.01.2022;rro
255;1890001;18900011;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;31.01.2022;prro
256;1890008;18900081;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;31.01.2022;prro
257;1890001;18900011;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;31.01.2022;prro
258;1890001;18900011;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;31.01.2022;rro
259;1890008;18900081;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;31.01.2022;rro
260;1890001;18900011;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;31.01.2022;rro
261;1890008;18900081;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;31.01.2022;rro
