Терминал;Отделение;Адрес;Партнёр
10101091;1010109;81085, Львівська обл., Яворівський р-н., с.Підрясне вул.Європейська, 1;delivery
10101101;1010110;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;delivery
10101111;1010111;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;delivery
10101121;1010112;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;delivery
10101131;1010113;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;delivery
10101141;1010114;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;delivery
10101151;1010115;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;delivery
10101161;1010116;39600, Полтавська обл., місто Кременчук, Крюківський район, ВУЛИЦЯ ІГОРЯ СЕРДЮКА, будинок 47;delivery
10101171;1010117;38200, Полтавська обл., Семенівський район, селище міського типу Семенівка, ВУЛИЦЯ ПЕРЕМОГИ, будинок 7;delivery
10101181;1010118;69002, Запорізька обл., м.Запоріжжя, Комунарський р-н., вул.Космічна, 121;delivery
10101191;1010119;61124, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 20;delivery
10101201;1010120;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 66-1;delivery
10101211;1010121;25014, Кіровоградська обл., м.Кропивницький, Фортечний р-н., Oлeгa Паршутіна, 28;delivery
10101221;1010122;03124, м.Київ, Солом`янський район, ВУЛИЦЯ РАДИЩЕВА, будинок 12-16;delivery
10101231;1010123;38100, Полтавська обл., Зіньківський район, місто Зіньків, ВУЛИЦЯ ВОЗДВИЖЕНСЬКА, будинок 1-К;delivery
10101241;1010124;43020, Волинська обл., місто Луцьк, ВУЛИЦЯ РІВНЕНСЬКА, будинок 76-А;delivery
10101251;1010125;85307, Донецька обл., місто Покровськ, МІКРОРАЙОН ШАХТАРСЬКИЙ, будинок 2-Б;delivery
10101261;1010126;55210, Миколаївська обл., місто Первомайськ, ВУЛИЦЯ ВОЗНЕСЕНСЬКА, будинок 52-Б;delivery
10101271;1010127;77001, Івано-Франківська обл., Рогатинський район, місто Рогатин, ВУЛИЦЯ ГАЛИЦЬКА, будинок 86;delivery
10101281;1010128;48101, Тернопільська обл., Теребовлянський район, місто Теребовля, ВУЛИЦЯ КНЯЗЯ ВАСИЛЬКА, будинок 107;delivery
10101291;1010129;65075, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МОТОРНА, будинок 8/К1;delivery
10101301;1010130;24400, Вінницька обл., Бершадський р-н., м.Бершадь, вул.Юрія Коваленка, 19;delivery
10101311;1010131;84404, Донецька обл., місто Лиман, ВУЛИЦЯ ПРИВОКЗАЛЬНА, будинок 35-А;delivery
10101321;1010132;23700, Вінницька обл., Гайсинський район, місто Гайсин, ВУЛИЦЯ МЕХАНІЗАТОРІВ, будинок 15-А;delivery
10101331;1010133;03151, м.Київ, Солом`янський район, ПРОСПЕКТ ПОВІТРОФЛОТСЬКИЙ, будинок 64;delivery
10101341;1010134;21037, Вінницька обл., м.Вінниця, Сабарівське шосе, 4-А;delivery
10101351;1010135;85612, Донецька обл., Мар’їнський р-н., м.Курахове, вул.Грушева, 9/1;delivery
10101361;1010136;02218, м.Київ, Дніпровський район, БУЛЬВАР ПЕРОВА, будинок 19-А;delivery
10101371;1010137;49041, Дніпропетровська обл., місто Дніпро, Соборний район, ПРОСПЕКТ ПРАЦІ, будинок 2-А;delivery
10101381;1010138;85323, Донецька обл., місто Мирноград, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 18;delivery
10101391;1010139;35063, Рівненська обл., місто Дубно, ВУЛИЦЯ СТЕФАНИКА, будинок 6;delivery
10101401;1010140;08292, Київська обл., м.Буча, вул.Яблунська, 144;delivery
10101411;1010141;77304, Івано-Франківська обл., м.Калуш, вул.Каракая, 24;delivery
10101421;1010142;41300, Сумська обл., Кролевецький район, місто Кролевець, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 15;delivery
10101431;1010143;66101, Одеська обл, м.Балта, вул.Садова, 11;delivery
10101441;1010144;75700, Херсонська обл., Скадовський р-н., м.Скадовськ, вул.В`ячеслава Чорновола, 103;delivery
10101451;1010145;89427, Закарпатська обл., Ужгородський р-н., с.Минай, вул. Патруса Карпатського, 13-А;delivery
10101461;1010146;89427, Тернопільська обл., м.Бережани, вул. Привокзальна, 1;delivery
10101481;1010148;86060, Донецька обл., місто Авдіївка, ПРОСПЕКТ ІНДУСТРІАЛЬНИЙ, будинок 1;delivery
10101491;1010149;64102, Харківська обл., місто Первомайський, 1/2 МІКРОРАЙОН, будинок 55;delivery
10101501;1010150;02222, м.Київ, Деснянський район, ВУЛИЦЯ ЕЛЕКТРОТЕХНІЧНА, будинок 43-А;delivery
10101511;1010151;04119, м.Київ, Шевченківський район, ВУЛИЦЯ СІМ`Ї ХОХЛОВИХ, будинок 11/2;delivery
10101521;1010152;33027, Рівненська обл., м.Рівне, ВУЛИЦЯ Данила Галицького, будинок 27;delivery
10101531;1010153;20202, Черкаська обл, Звенигородський р-н., м.Звенигородка, вул.В’ячеслава Липинського, 27;delivery
10101541;1010154;68610, Одеська обл, м.Ізмаїл, вул.Шевченка, 120;delivery
10101551;1010155;73008, Херсонська обл., м.Херсон, Дніпровський р-н., вул.Ладичука, 150;delivery
10101561;1010156;51205, Дніпропетровська обл., м.Новомосковськ, вул.Спаська,16;delivery
10101571;1010157;37503, Полтавська обл., м.Лубни, проспект Вoлодимирський, 94-А;delivery
10101581;1010158;41500, Сумська обл., Путивльський р-н., м.Путивль, вул.Кузнечна, 28;delivery
10101591;1010159;70608, Запорізька обл., Пологівський р-н., м.Пологи, вул.Шевченка, 6;delivery
10101601;1010160;93106, Луганська обл., м.Лисичанськ, вул. Володимира Сосюри, 131-Б;delivery
10101611;1010161;58015, Чернівецька обл., м.Чернівці, вул. Калинівська, 13-В;delivery
10101621;1010162;08298, Київська обл., смт.Коцюбинське, вул. Пономарьова, 17;delivery
10101631;1010163;27500, Кіровоградська обл., м.Світловодськ, вул. Приморська, 38-А;delivery
10101641;1010164;37300, Полтавська обл., м.Гадяч, вул. Лесі Українки, 1-А;delivery
10101651;1010165;71503, Запорізька обл., м.Енергодар, ГСК №1;delivery
10101661;1010166;65101, Одеська обл., м.Одеса, Київський р-н., проспект Небесної Сотні, 4-7;delivery
10101671;1010167;58023, Чернівецька обл., м.Чернівці, вул. Олени Пчілки, 10;delivery
10101681;1010168;11501, Житомирська обл., Коростенський р-н., м.Коростень, вул. Шевченка, 2;delivery
10101691;1010169;54052, Миколаївська обл., м.Миколаїв, Корабельний р-н., вул.Доктора Самойловича, 35;delivery
10101711;1010171;50014, Дніпропетровська обл., м.Кривий Ріг, Покровський р-н., вул.Тихвінська, 1-А;delivery
10101721;1010172;42600, Сумська обл., м.Тростянець, вул.Благовіщенська, 58-А;delivery
10101731;1010173;63702, Харківська обл., м.Куп`янськ, вул.Сватівська, 56;delivery
10101741;1010174;87505, Донецька обл., м.Маріуполь, Лівобережний р-н., вул.Таганрозька, 5;delivery
10101751;1010175;19003, Черкаська обл., м.Канів, вул.Енергетиків, 139-Л;delivery
10101761;1010176;67633, Одеська обл., Одеський р-н., с.Латівка, вул.Живахова гора, 1;delivery
10101771;1010177;30002, Хмельницька обл., Шепетівський р-н., м.Славута, вул.Миру, 104;delivery
10101781;1010178;28000, Кіровоградська обл., м.Олександрія, вул.Діброви, 16;delivery
10101791;1010179;28000, Волинська обл., Горохівський р-н., м.Горохів, вул.Козацька,23;delivery
10101801;1010180;69063, Запорізька обл., м.Запоріжжя, Комунарський р-н., вул.Сергія Серікова, 30;delivery
10101811;1010181;61052, Харківська обл., м.Харків, Новобаварський р-н., вул.Мала Гончарівська 17;delivery
10101821;1010182;09113, Київська обл., м.Біла Церква, вул.Матросова 48-А;delivery
10101831;1010183;32401, Хмельницька обл., Дунаєвецький р-н., м.Дунаївці, вул.Шевченка, 115/11;delivery
10101841;1010184;90300, Закарпатська обл., Виноградівський р-н., м.Виноградів, вул.Вакарова, 20;delivery
10101851;1010185;90433, Закарпатська обл., Тячівський р-н., м.Тячів, вул.Незалежності, 205;delivery
10101861;1010186;01042, м.Київ, Печерський р-н., Новопечерський провулок, 5;delivery
10101871;1010187;35500, Рівненська обл., Радивилівський р-н., м.Радивилів, вул.Кременецька, 26;delivery
10101881;1010188;51404, Дніпропетровська обл., м.Павлоград, вул.Дніпровська, 49;delivery
10101911;1010191;37200, Полтавська обл., Лохвицький р-н., м.Лохвиця, вул.Перемоги, 11;delivery
10101921;1010192;14001, Чернігівська обл., м.Чернігів, Новозаводський р-н., вул.Івана Мазепи, 63;delivery
10101931;1010193;65000, Одеська обл., м.Одеса, Суворовський р-н., вул.Агрономічна, 205/3;delivery
10101941;1010194;56101, Миколаївська обл., Баштанський р-н., м.Баштанка, вул.Театральна, 3;delivery
10101951;1010195;52700, Дніпропетровська обл., Петропавлівський р-н., смт.Петропавлівка, вул.Соборна, 121;delivery
10101961;1010196;92704, Луганська обл., Старобільський р-н., м.Старобільськ, вул.Георгія Лангемака, 76-А;delivery
10101971;1010197;30100, Хмельницька обл., м.Нетішин, вул.Шевченка, 26;delivery
10101981;1010198;23600, Вінницька обл., Тульчинський р-н., м.Тульчин, вул.Петра Захарова, 36;delivery
10101991;1010199;63460, Харківська обл., Зміївський р-н., смт.Слобожанське, Балаклійське шосе, 8;delivery
10102001;1010200;08162, Київська обл., Києво-Святошинський р-н., смт.Чабани, вул.Машинобудівників, 1;delivery
10102011;1010201;16500, Чернігівська обл., Бахмацький р-н., м.Бахмач, вул.Богомольця, 2;delivery
10102021;1010202;39000, Полтавська  обл., Глобинський р-н., м. Глобине, вул. Виноградна, 3-А;delivery
10102031;1010203;49024, Дніпропетровська  обл., м.Дніпро, Амур-Нижньодніпровський р-н., вул.Каруни, 75;delivery
10102041;1010204;64305, Харківська  обл.,  м.Ізюм, вул.Гостинна, 2;delivery
10102051;1010205;51909, Дніпропетровська  обл., м.Кам`янське, провулок Цегляний, 19;delivery
10102061;1010206;29025, Хмельницька  обл., м.Хмельницький, вул.Курчатова 117-А;delivery
10102071;1010207;51206, Дніпропетровська  обл., м.Новомосковськ, вул.Микити Головка , 12;delivery
10102081;1010208;36008, Полтавська  обл., м.Полтава, Шевченківський р-н., вул.Комарова, 5;delivery
10102091;1010209;68001, Одеська  обл., м.Чорноморськ, вул.Транспортна, 14;delivery
10102101;1010210;44000, Волинська  обл., Шацький р-н., м.Шацьк, вул.50 років Перемоги, 6;delivery
10102111;1010211;61001, Харківська обл., м.Харків, Слобідський р-н., вул.Польова, 83;delivery
10102121;1010212;22000, Вінницька обл., м. Хмільник, вул.Монастирська, 8-А;delivery
10102131;1010213;78208, Івано-Франківська обл., м.Коломия, вул.Симоненка, 1-Г;delivery
10102141;1010214;07101, Київська обл., м.Славутич, вул.Чернігівська, 10;delivery
10102151;1010215;49098, Дніпропетровська обл., м.Дніпро, Амур-Нижньодніпровський р-н., вул.Любарського, 159;delivery
10102161;1010216;20901, Черкаська обл., Чигиринський р-н., м.Чигирин, вул.Грушевського, 16-А;delivery
10102171;1010217;37000, Полтавська обл., Пирятинський р-н., м.Пирятин, вул.Ярмаркова, 28;delivery
10102181;1010218;66302, Одеська обл., м.Подільськ, вул.Успенська, 14-А;delivery
10102191;1010219;55213, Миколаївська обл., м.Первомайськ, вул.Вокзальна, 34;delivery
10102201;1010220;73034, Херсонська обл., м.Херсон, Корабельний р-н., вул.Робоча, 82-А;delivery
10102211;1010221;78103, Івано-Франківська обл., Городенківський р-н.,м.Городенка, вул.Затишна, 36;delivery
10102221;1010222;47101, Тернопільська обл., Шумський р-н., м.Шумськ, вул. Вілійська, 6-Г;delivery
10102231;1010223;84511, Донецька обл., м.Бахмут, вул.Різдвяна, 27;delivery
10102241;1010224;08001, Київська обл., Макарівський р-н., м.Макарів, вул.Гагаріна, 8;delivery
10102251;1010225;70504, Запорізька обл., Оріхівський р-н., м.Оріхів, вул.Марії Сокіл, 28;delivery
10102271;1010227;13306, Житомирська обл., Бердичівський р-н., м.Бердичів, вул.Привокзальна, 3;delivery
10102281;1010228;Вінницька обл., Ямпільський р-н. м.Ямпіль, вулиця Богдана Хмельницького, 44/84;delivery
10102291;1010229;08623, Київська обл., Фастівський  р-н., смт.Калинівка, вул.Залізнична, 164;delivery
10102301;1010230;53407, Дніпропетровська обл., Нікопольський р-н., м.Марганець, вул.Кленова, 12-А;delivery
10102311;1010231;51937, Дніпропетровська обл., м.Кам`янське, Дніпровський р-н.,  проспект Наддніпрянський, 1-Б;delivery
10102321;1010232;37600, Полтавська обл., Миргородський р-н., м.Миргород, вул.Данила Апостола, 38;delivery
10102331;1010233;14013, Чернігівська обл., м.Чернігів, Деснянський р-н., вул.Любомира Боднарука, 28;delivery
10102341;1010234;68702, Одеська обл., Болградський р-н., м.Болград, проспект Соборний, 108;delivery
10102351;1010235;67400, Одеська обл., Роздільнянський р-н., м.Роздільна, вул.Європейська, 52;delivery
10102361;1010236;12501, Житомирська обл., Житомирський  р-н., м.Коростишів, вул.Героїв небесної сотні, 68;delivery
10102371;1010237;84331, Донецька обл., м.Краматорськ, вул.Ювілейна, 70;delivery
10102381;1010238;81300, Львівська обл., Мостиський р-н., м.Мостиська, вул.Зелена 7-А;delivery
10102401;1010240;38500, Полтавська обл., Диканський р-н., смт.Диканька, вул.Незалежності, 58/1;delivery
10102411;1010241;68200, Одеська обл., Саратський р-н., смт.Сарата, вул.Чкалова, 50/1;delivery
10102421;1010242;62400, Харківська обл., Харківський р-н., м.Мерефа, вул.Дніпропетровська, 238;delivery
10102431;1010243;80400, Львівська обл., Львівський р-н.,  м.Кам`янка-Бузька, вул.Генерала Чупринки, 15;delivery
