department;region;district_region;post_index;city_type;city;district_city;street_type;street;hous;address;koatu;partner
1060239;;;;;;;;;;18007, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ ЛУЦЕНКА, будинок 3;;intime
1060240;;;;;;;;;;18007, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ СМІЛЯНСЬКА, будинок 163;;intime
1060241;;;;;;;;;;19901, Черкаська обл., Чорнобаївський район, селище міського типу Чорнобай, ВУЛИЦЯ ЧЕРКАСЬКА, будинок 44-А;;intime
1060242;;;;;;;;;;20603, Черкаська обл., Шполянський район, місто Шпола, ВУЛИЦЯ СОБОРНА, будинок 24;;intime
1060243;;;;;;;;;;16500, Чернігівська обл., Бахмацький район, місто Бахмач, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 22;;intime
1060244;;;;;;;;;;16400, Чернігівська обл., Борзнянський район, місто Борзна, ВУЛИЦЯ КРАСНОСІЛЬСЬКОГО, будинок 1-В;;intime
1060245;;;;;;;;;;17600, Чернігівська обл., Варвинський район, селище міського типу Варва, ВУЛИЦЯ МИРУ, будинок 11;;intime
1060246;;;;;;;;;;16700, Чернігівська обл., Ічнянський район, місто Ічня, ВУЛИЦЯ ЧЕРНІГІВСЬКА, будинок 41;;intime
1060247;;;;;;;;;;16200, Чернігівська обл., Коропський район, селище міського типу Короп, ВУЛИЦЯ ЧЕРНІГІВСЬКА, будинок 1;;intime
1060248;;;;;;;;;;15300, Чернігівська обл., Корюківський район, місто Корюківка, ВУЛИЦЯ ШЕВЧЕНКА, будинок 83-А;;intime
1060249;;;;;;;;;;15600, Чернігівська обл., Менський район, місто Мена, ВУЛИЦЯ ЧЕРНІГІВСЬКИЙ ШЛЯХ, будинок 7;;intime
1060250;;;;;;;;;;16600, Чернігівська обл., місто Ніжин, ВУЛИЦЯ СИНЯКІВСЬКА, будинок 79/1;;intime
1060251;;;;;;;;;;16000, Чернігівська обл., місто Новгород-Сіверський, ВУЛИЦЯ ШЕВЧЕНКА, будинок 23-А;;intime
1060252;;;;;;;;;;16220, Чернігівська обл., Коропський район, селище міського типу Понорниця, ВУЛИЦЯ МОСКОВСЬКА, будинок 10;;intime
1060253;;;;;;;;;;17500, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КИЇВСЬКА, будинок 140-Г/2;;intime
1060254;;;;;;;;;;14013, Чернігівська обл., місто Чернігів, Деснянський район, ПРОВУЛОК 1-ГО ТРАВНЯ, будинок 2;;intime
1060255;;;;;;;;;;14000, Чернігівська обл., місто Чернігів, Новозаводський район, ПРОСПЕКТ МИРУ, будинок 30;;intime
1060256;;;;;;;;;;14032, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ДОЦЕНКА, будинок 6;;intime
1060257;;;;;;;;;;14007, Чернігівська обл., місто Чернігів, Новозаводський район, ВУЛИЦЯ ВОЛОДИМИРА ДРОЗДА, будинок 5;;intime
1060258;;;;;;;;;;15200, Чернігівська обл., Сновський район, місто Сновськ, ВУЛИЦЯ П. САГАЙДАЧНОГО, будинок 2;;intime
1060259;;;;;;;;;;59233, Чернівецька обл., Вижницький район, селище міського типу Берегомет, ВУЛИЦЯ РИНКОВА, будинок 10;;intime
1060260;;;;;;;;;;59200, Чернівецька обл., Вижницький район, місто Вижниця, ВУЛИЦЯ УКРАЇНСЬКА, будинок 89;;intime
1060261;;;;;;;;;;60100, Чернівецька обл., Кельменецький район, селище міського типу Кельменці, ВУЛИЦЯ ЖУКОВА, будинок 24-Г;;intime
1060262;;;;;;;;;;60300, Чернівецька обл., Новоселицький район, місто Новоселиця, ВУЛИЦЯ ХОТИНСЬКА, будинок 57-А;;intime
1060263;;;;;;;;;;60200, Чернівецька обл., Сокирянський район, місто Сокиряни, ВУЛИЦЯ ЧОРНОВОЛА, будинок 15;;intime
1060264;;;;;;;;;;59000, Чернівецька обл., Сторожинецький район, місто Сторожинець, ВУЛИЦЯ ФЕДЬКОВИЧА, будинок 24-Б;;intime
1060265;;;;;;;;;;60000, Чернівецька обл., Хотинський район, місто Хотин, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 28-А;;intime
1060266;;;;;;;;;;58020, Чернівецька обл., місто Чернівці, Садгірський район, ВУЛИЦЯ КАЛИНІВСЬКА, 13-А (КАЛИНІВСЬКИЙ РИНОК), СЕКТОР 8, КОН.275-276;;intime
1060267;;;;;;;;;;58002, Чернівецька обл., місто Чернівці, Шевченківський район, ВУЛИЦЯ ГЛІНКИ, будинок 2;;intime
1060268;;;;;;;;;;58023, Чернівецька обл., місто Чернівці, Першотравневий район, ВУЛИЦЯ О. ПЧІЛКИ, будинок 10;;intime
1060269;;;;;;;;;;58020, Чернівецька обл., місто Чернівці, Садгірський район, ВУЛИЦЯ КАЛИНІВСЬКА, 13-Б (КАЛИНІВСЬКИЙ РИНОК), СЕКТОР 4, РЯД 3, МАГАЗИН 17;;intime
1060270;;;;;;;;;;53802, Дніпропетровська обл., Апостолівський район, місто Апостолове, ВУЛИЦЯ ВЕТЕРАНІВ, будинок 4-Б;;intime
1060271;;;;;;;;;;51660, Дніпропетровська обл., Верхньодніпровський район, місто Верхівцеве, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 20;;intime
1060272;;;;;;;;;;51600, Дніпропетровська обл., Верхньодніпровський район, місто Верхньодніпровськ, ВУЛИЦЯ ЯБЛУНЕВА, будинок 55;;intime
1060273;;;;;;;;;;51700, Дніпропетровська обл., місто Вільногірськ, БУЛЬВАР МИРУ, будинок 8-А;;intime
1060274;;;;;;;;;;49128, Дніпропетровська обл., місто Дніпро, Новокодацький район, ПОКРОВСЬКИЙ ЖИЛИЙ МАСИВ, будинок 5-В, офіс 1;;intime
1060275;;;;;;;;;;49040, Дніпропетровська обл., місто Дніпро, Центральний район, ПРОСПЕКТ ПРАЦІ, будинок 2-А;;intime
1060276;;;;;;;;;;49127, Дніпропетровська обл., місто Дніпро, Самарський район, ВУЛИЦЯ БАЗОВА, будинок 8;;intime
1060277;;;;;;;;;;49125, Дніпропетровська обл., місто Дніпро, Амур-Нижньодніпровський район, ВУЛИЦЯ МАРІЇ ЛИСИЧЕНКО, будинок 5-А;;intime
1060278;;;;;;;;;;49107, Дніпропетровська обл., місто Дніпро, Соборний район, ПРОСПЕКТ ГАГАРІНА, будинок 141;;intime
1060279;;;;;;;;;;49008, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ РОБОЧА, будинок 81, офіс 43;;intime
1060280;;;;;;;;;;49000, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ Б. ХМЕЛЬНИЦЬКОГО, будинок 27;;intime
1060281;;;;;;;;;;49131, Дніпропетровська обл., місто Дніпро, Центральний район, ПРОСПЕКТ ПУШКІНА, будинок 1;;intime
1060282;;;;;;;;;;49044, Дніпропетровська обл., місто Дніпро, Соборний район, ВУЛИЦЯ ГОГОЛЯ, будинок 19;;intime
1060283;;;;;;;;;;49055, Дніпропетровська обл., місто Дніпро, Центральний район, ПРОСПЕКТ ОЛЕКСАНДРА ПОЛЯ, будинок 135;;intime
1060284;;;;;;;;;;49038, Дніпропетровська обл., місто Дніпро, Центральний район, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 1;;intime
1060285;;;;;;;;;;49098, Дніпропетровська обл., місто Дніпро, Амур-Нижньодніпровський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 6;;intime
1060286;;;;;;;;;;51931, Дніпропетровська обл., місто Кам’янське, Заводський район, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9-А;;intime
1060287;;;;;;;;;;51939, Дніпропетровська обл., місто Кам’янське, Дніпровський район, БУЛЬВАР БУДІВЕЛЬНИКІВ, будинок 5;;intime
1060288;;;;;;;;;;51925, Дніпропетровська обл., місто Кам’янське, Заводський район, ВУЛИЦЯ СОБОРНА, будинок 12;;intime
1060289;;;;;;;;;;49038, Дніпропетровська обл., місто Дніпро, Новокодацький район, ПРОСПЕКТ НІГОЯНА, будинок 23;;intime
1060290;;;;;;;;;;53860, Дніпропетровська обл., Апостолівський район, місто Зеленодольськ, ВУЛИЦЯ ЕНЕРГЕТИЧНА, будинок 13;;intime
1060291;;;;;;;;;;50029, Дніпропетровська обл., місто Кривий Ріг, Покровський район, ВУЛИЦЯ МИКОЛИ ЗІНЧЕВСЬКОГО, будинок 2;;intime
1060292;;;;;;;;;;50071, Дніпропетровська обл., місто Кривий Ріг, Саксаганський район, ВУЛИЦЯ ТЕСЛЕНКА, будинок 13;;intime
1060293;;;;;;;;;;50027, Дніпропетровська обл., місто Кривий Ріг, Металургійний район, ВУЛИЦЯ РОКОСОВСЬКОГО, будинок 1;;intime
1060294;;;;;;;;;;50005, Дніпропетровська обл., місто Кривий Ріг, Металургійний район, ВУЛИЦЯ ТБІЛІСЬКА, будинок 17;;intime
1060295;;;;;;;;;;50000, Дніпропетровська обл., місто Кривий Ріг, Центрально-Міський район, ВУЛИЦЯ ОКРУЖНА, будинок 14;;intime
1060296;;;;;;;;;;50079, Дніпропетровська обл., місто Кривий Ріг, Тернівський район, ВУЛИЦЯ ЧЕРКАСОВА, будинок 12;;intime
1060297;;;;;;;;;;50102, Дніпропетровська обл., місто Кривий Ріг, Інгулецький район, ВУЛИЦЯ ОЛЕКСАНДРА СТАНКОВА, 9-Б;;intime
1060298;;;;;;;;;;50000, Дніпропетровська обл., місто Кривий Ріг, Центрально-Міський район, ВУЛИЦЯ ОЛЕКСАНДРА ПОЛЯ, будинок 18/3;;intime
1060299;;;;;;;;;;53401, Дніпропетровська обл., місто Марганець, ПРОЩА ПРИВОКЗАЛЬНА, будинок 1;;intime
1060300;;;;;;;;;;49083, Дніпропетровська обл., місто Дніпро, Амур-Нижньодніпровський район, ПРОВУЛОК ЮННАТІВ, будинок 7;;intime
1060301;;;;;;;;;;53200, Дніпропетровська обл., місто Нікополь, ВУЛИЦЯ ЕЛЕКТРОМЕТАЛУРГІВ, будинок 44-Д;;intime
1060302;;;;;;;;;;51206, Дніпропетровська обл., місто Новомосковськ, ВУЛИЦЯ ПАЛАНОЧНА, будинок 2;;intime
1060303;;;;;;;;;;54055, Миколаївська обл., місто Миколаїв, Центральний район, ПРОСПЕКТ ЦЕНТРАЛЬНИЙ, будинок 157;;intime
1060304;;;;;;;;;;51413, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ НОВА, будинок 5/26;;intime
1060305;;;;;;;;;;51405, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ ДНІПРОВСЬКА, будинок 172-А;;intime
1060306;;;;;;;;;;51400, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ ХАРКІВСЬКА, будинок 118/6;;intime
1060307;;;;;;;;;;52803, Дніпропетровська обл., місто Першотравенськ, ВУЛИЦЯ ШАХТАРСЬКОЇ СЛАВИ, будинок 22;;intime
1060308;;;;;;;;;;52300, Дніпропетровська обл., Криничанський район, селище міського типу Кринички, ВУЛИЦЯ МИХАЙЛА ГРУШЕВСЬКОГО, будинок 3;;intime
1060309;;;;;;;;;;53303, Дніпропетровська обл., місто Покров, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 47-А;;intime
1060310;;;;;;;;;;53600, Дніпропетровська обл., Покровський район, селище міського типу Покровське, ВУЛИЦЯ ГОРЬКОГО, будинок 94;;intime
1060311;;;;;;;;;;52500, Дніпропетровська обл., місто Синельникове, ВУЛИЦЯ ШЕВЧЕНКА, будинок 27-А;;intime
1060312;;;;;;;;;;53500, Дніпропетровська обл., Томаківський район, селище міського типу Томаківка, ВУЛИЦЯ АМБУЛАТОРНА, будинок 4;;intime
1060313;;;;;;;;;;51000, Дніпропетровська обл., Царичанський район, селище міського типу Царичанка, ВУЛИЦЯ НАГІРНА, будинок 7;;intime
1060314;;;;;;;;;;64207, Харківська обл., Балаклійський район, місто Балаклія, ВУЛИЦЯ 1 ТРАВНЯ , будинок 9;;intime
1060315;;;;;;;;;;63002, Харківська обл., Валківський район, місто Валки, ПРОСПЕКТ ГЕРОЇВ ЧОРНОБИЛЯ, будинок 6;;intime
1060316;;;;;;;;;;62504, Харківська обл., Вовчанський район, місто Вовчанськ, ВУЛИЦЯ ТОРГОВА, будинок 17;;intime
1060317;;;;;;;;;;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ САДОВА, будинок 8-А;;intime
1060318;;;;;;;;;;63401, Харківська обл., Зміївський район, місто Зміїв, ВУЛИЦЯ ПРИВОКЗАЛЬНА, будинок 5;;intime
1060319;;;;;;;;;;62203, Харківська обл., Золочівський район, селище міського типу Золочів, ВУЛИЦЯ КОНИКА, будинок 4;;intime
1060320;;;;;;;;;;64305, Харківська обл., місто Ізюм, ВУЛИЦЯ ЕНТУЗІАСТІВ, будинок 21;;intime
1060321;;;;;;;;;;64003, Харківська обл., Кегичівський район, селище міського типу Кегичівка, ВУЛИЦЯ 1-ГО ТРАВНЯ, будинок 10;;intime
1060322;;;;;;;;;;63460, Харківська обл., Зміївський район, селище міського типу Слобожанське, БАЛАКЛІЙСЬКЕ ШОСЕ, будинок 8;;intime
1060323;;;;;;;;;;63301, Харківська обл., Красноградський район, місто Красноград, ВУЛИЦЯ МОСКОВСЬКА, будинок 45-Б;;intime
1060324;;;;;;;;;;63702, Харківська обл., місто Куп'янськ, ВУЛИЦЯ СВАТІВСЬКА, будинок 51;;intime
1060325;;;;;;;;;;64602, Харківська обл., місто Лозова, ВУЛИЦЯ СЕВАСТОПОЛЬСЬКА, будинок 2-Б;;intime
1060326;;;;;;;;;;62433, Харківська обл., місто Люботин, ВУЛИЦЯ ДЕПОВСЬКА, будинок 62;;intime
1060327;;;;;;;;;;62472, Харківська обл., Харківський район, місто Мерефа, ВУЛИЦЯ ДНІПРОПЕТРОВСЬКА, будинок 185-А;;intime
1060328;;;;;;;;;;64102, Харківська обл., місто Первомайський, 1/2-Й МІКРОРАЙОН, будинок 55;;intime
1060329;;;;;;;;;;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;;intime
1060330;;;;;;;;;;61009, Харківська обл., місто Харків, Комінтернівський район, ПРОСПЕКТ ГАГАРІНА, будинок 183-А;;intime
1060331;;;;;;;;;;61052, Харківська обл., місто Харків, Жовтневий район, ВУЛИЦЯ МАЛОГОНЧАРІВСЬКА, будинок 17;;intime
1060332;;;;;;;;;;61080, Харківська обл., місто Харків, Комінтернівський район, ПРОСПЕКТ ЛЬВА ЛАНДАУ, будинок 2-Б;;intime
1060333;;;;;;;;;;15100, Чернігівська обл., Городнянський район, місто Городня, ВУЛИЦЯ ТРОЇЦЬКА, будинок 64-Б;;intime
1060334;;;;;;;;;;61146, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ АКАДЕМІКА ПАВЛОВА, будинок 148;;intime
1060335;;;;;;;;;;61140, Харківська обл., місто Харків, Червонозаводський район, ПРОСПЕКТ ГАГАРІНА, будинок 101;;intime
1060336;;;;;;;;;;78103, Івано-Франківська обл., Городенківський район, місто Городенка, ВУЛИЦЯ ЗАТИШНА, будинок 36;;intime
1060337;;;;;;;;;;61099, Харківська обл., місто Харків, Червонозаводський район, БУЛЬВАР Б.ХМЕЛЬНИЦЬКОГО, будинок 8;;intime
1060338;;;;;;;;;;61003, Харківська обл., місто Харків, Комінтернівський район, ВУЛИЦЯ ПЛЕХАНІВСЬКА, будинок 12;;intime
1060339;;;;;;;;;;61038, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ АКАДЕМІКА ПАВЛОВА, будинок 88/7;;intime
1060340;;;;;;;;;;61023, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ СУМСЬКА, будинок 126;;intime
1060341;;;;;;;;;;61064, Харківська обл., місто Харків, Жовтневий район, ВУЛИЦЯ ПОЛТАВСЬКИЙ ШЛЯХ, будинок 115;;intime
1060342;;;;;;;;;;61001, Харківська обл., місто Харків, Київський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 67;;intime
1060343;;;;;;;;;;61105, Харківська обл., місто Харків, Немишлянський район, ВУЛИЦЯ КИРГИЗЬКА, будинок 19;;intime
1060344;;;;;;;;;;61106, Харківська обл., місто Харків, Орджонікідзевський район, ВУЛИЦЯ РОГАНСЬКА, будинок 13;;intime
1060345;;;;;;;;;;61000, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ АКАДЕМІКА ПАВЛОВА, МАЙДАНЧИК 024;;intime
1060346;;;;;;;;;;54031, Миколаївська обл., місто Миколаїв, Інгульський район, ВУЛИЦЯ КОСМОНАВТІВ, будинок 83;;intime
1060347;;;;;;;;;;61029, Харківська обл., місто Харків, Фрунзенський район, САЛТІВСЬКЕ ШОСЕ, будинок 104-А;;intime
1060348;;;;;;;;;;61013, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ШЕВЧЕНКА, будинок 90;;intime
1060349;;;;;;;;;;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ПЛОЩА КОНОНЕНКА, будинок 1;;intime
1060350;;;;;;;;;;61054, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ АКАДЕМІКА ПАВЛОВА, будинок 120;;intime
1060351;;;;;;;;;;61161, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ПРОСПЕКТНА АФГАНСЬКИЙ МАЙДАНЧИК, будинок 21-П;;intime
1060352;;;;;;;;;;63502, Харківська обл., місто Чугуїв, ВУЛИЦЯ ЖАДАНОВСЬКОГО, будинок 13;;intime
1060353;;;;;;;;;;65042, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЖЕВАХОВА ГОРА, будинок 1;;intime
1060354;;;;;;;;;;20114, Черкаська обл., Маньківський район, селище міського типу Буки, ВУЛИЦЯ ПУШКІНА, будинок 4;;intime
1060355;;;;;;;;;;49041, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ПАНІКАХИ, будинок 101;;intime
1060356;;;;;;;;;;17100, Чернігівська обл., Носівський район, місто Носівка, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 2;;intime
1060357;;;;;;;;;;65104, Одеська обл., місто Одеса, Київський район, ПРОСПЕКТ АКАДЕМІКА ГЛУШКА, будинок 29;;intime
1060358;;;;;;;;;;65059, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ ЛЮСТДОРФСЬКА ДОРОГА, будинок 90;;intime
1060359;;;;;;;;;;65017, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 84-А;;intime
1060360;;;;;;;;;;65023, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ НІЖИНСЬКА, будинок 30;;intime
1060361;;;;;;;;;;65004, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ ДАЛЬНИЦЬКА, будинок 44;;intime
1060362;;;;;;;;;;65085, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ МИКОЛАЇВСЬКА ДОРОГА, будинок 128;;intime
1060363;;;;;;;;;;65007, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МЕЧНИКОВА, будинок 124;;intime
1060364;;;;;;;;;;65003, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ОТАМАНА ЧЕПІГИ, будинок 29;;intime
1060365;;;;;;;;;;65031, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ ПРОМИСЛОВА, будинок 36-Б;;intime
1060366;;;;;;;;;;65086, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕНЕРАЛА БОЧАРОВА, будинок 60;;intime
1060367;;;;;;;;;;68803, Одеська обл., Ренійський район, місто Рені, ВУЛИЦЯ 28 ЧЕРВНЯ, будинок 152;;intime
1060368;;;;;;;;;;67400, Одеська обл., Роздільнянський район, місто Роздільна, ВУЛИЦЯ ПРИВОКЗАЛЬНА, будинок 1;;intime
1060369;;;;;;;;;;68200, Одеська обл., Саратський район, селище міського типу Сарата, ВУЛИЦЯ КРІСТІАН ВЕРНЕР, будинок 96;;intime
1060370;;;;;;;;;;65481, Одеська обл., місто Южне, ВУЛИЦЯ ПРИМОРСЬКА, будинок 19-Б;;intime
1060371;;;;;;;;;;84511, Донецька обл., місто Бахмут, ВУЛИЦЯ САДОВА, будинок 66;;intime
1060372;;;;;;;;;;85500, Донецька обл., Великоновосілківський район, селище міського типу Велика Новосілка, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 4;;intime
1060373;;;;;;;;;;85700, Донецька обл., Волноваський район, місто Волноваха, ВУЛИЦЯ УКРАЇНСЬКА , будинок 36;;intime
1060374;;;;;;;;;;85670, Донецька обл., місто Вугледар, ВУЛИЦЯ ШАХТАРСЬКА, будинок 3-А;;intime
1060375;;;;;;;;;;89000, Закарпатська обл., Великоберезнянський район, селище міського типу Великий Березний, ВУЛИЦЯ ШЕВЧЕНКА, будинок 6;;intime
1060376;;;;;;;;;;84545, Донецька обл., Бахмутський район, місто Соледар, ВУЛИЦЯ КАРПИНСЬКОГО, будинок 1/10;;intime
1060377;;;;;;;;;;84511, Донецька обл., місто Бахмут, ВУЛИЦЯ РІЗДВЯНА, будинок 27;;intime
1060378;;;;;;;;;;85323, Донецька обл., місто Мирноград, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 43;;intime
1060379;;;;;;;;;;85001, Донецька обл., місто Добропілля, ВУЛИЦЯ ФЕСТИВАЛЬНА, будинок 5;;intime
1060380;;;;;;;;;;84201, Донецька обл., місто Дружківка, ВУЛИЦЯ ПРИВОКЗАЛЬНА, будинок 6;;intime
1060381;;;;;;;;;;85102, Донецька обл., місто Костянтинівка, ВУЛИЦЯ БУРДЕНКО, будинок 22;;intime
1060382;;;;;;;;;;84333, Донецька обл., місто Краматорськ, ВУЛИЦЯ ГЕРОЇВ НЕБЕСНОЇ СОТНІ, будинок 24;;intime
1060383;;;;;;;;;;84406, Донецька обл., місто Лиман, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 4;;intime
1060384;;;;;;;;;;85613, Донецька обл., Мар'їнський район, місто Курахове, ПРОСПЕКТ ЗАПОРІЗЬКИЙ, будинок 72-А;;intime
1060385;;;;;;;;;;87505, Донецька обл., місто Маріуполь, Лівобережний район, ВУЛИЦЯ ГРАВЕРНА, будинок 3;;intime
1060386;;;;;;;;;;87555, Донецька обл., місто Маріуполь, Центральний район, ПРОСПЕКТ МИРУ, будинок 87-А;;intime
1060387;;;;;;;;;;87531, Донецька обл., місто Маріуполь, Центральний район, ВУЛИЦЯ КУПРІНА, будинок 10;;intime
1060388;;;;;;;;;;84180, Донецька обл., Слов'янський район, місто Миколаївка, ВУЛИЦЯ МИХАЙЛА ПЕТРЕНКА, будинок 7;;intime
1060389;;;;;;;;;;85483, Донецька обл., місто Новогродівка, БУЛЬВАР ШЕВЧЕНКА, будинок 27;;intime
1060390;;;;;;;;;;85302, Донецька обл., місто Покровськ, ВУЛИЦЯ ТОРГІВЕЛЬНА, будинок 11-А;;intime
1060391;;;;;;;;;;85307, Донецька обл., місто Покровськ, ШАХТАРСЬКИЙ МКР., будинок 26-Б;;intime
1060392;;;;;;;;;;85400, Донецька обл., місто Селидове, ВУЛИЦЯ ПЕРЕМОГИ, будинок 3;;intime
1060393;;;;;;;;;;84522, Донецька обл., Бахмутський район, місто Сіверськ, ВУЛИЦЯ ЯМСЬКА, будинок 6;;intime
1060394;;;;;;;;;;84122, Донецька обл., місто Слов'янськ, ВУЛИЦЯ СВОБОДИ, будинок 43;;intime
1060395;;;;;;;;;;84122, Донецька обл., місто Слов'янськ, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 65;;intime
1060396;;;;;;;;;;69118, Запорізька обл., місто Запоріжжя, Комунарський район, ВУЛИЦЯ ВОДОГРАЙНА, будинок 16;;intime
1060397;;;;;;;;;;82302, Львівська обл., місто Борислав, ВУЛИЦЯ ТРУСКАВЕЦЬКА, будинок 125;;intime
1060398;;;;;;;;;;80600, Львівська обл., Бродівський район, місто Броди, ВУЛИЦЯ ЮРИДИКА, будинок 17;;intime
1060399;;;;;;;;;;80500, Львівська обл., Буський район, місто Буськ, ВУЛИЦЯ ЛЬВІВСЬКА, будинок 6-К;;intime
1060400;;;;;;;;;;82100, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВІЙТІВСЬКА ГОРА, будинок 48;;intime
1060401;;;;;;;;;;81701, Львівська обл., Жидачівський район, місто Жидачів, ВУЛИЦЯ МІЦКЕВИЧА, будинок 9;;intime
1060402;;;;;;;;;;80300, Львівська обл., Жовківський район, місто Жовква, ВУЛИЦЯ ДОРОШЕНКА, будинок 3;;intime
1060403;;;;;;;;;;80700, Львівська обл., Золочівський район, місто Золочів, ВУЛИЦЯ ІВАНА ТРУША, будинок 2-А;;intime
1060404;;;;;;;;;;80400, Львівська обл., Кам'янка-Бузький район, місто Кам'янка-Бузька, ВУЛИЦЯ ІГОРЯ СИРКО, будинок 4;;intime
1060405;;;;;;;;;;79069, Львівська обл., місто Львів, Шевченківський район, ВУЛИЦЯ ШЕВЧЕНКА, будинок 297-В;;intime
1060406;;;;;;;;;;79018, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ЗАЛІЗНИЧНА, будинок 12;;intime
1060407;;;;;;;;;;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ЩИРЕЦЬКА, будинок 5;;intime
1060408;;;;;;;;;;79012, Львівська обл., місто Львів, Франківський район, ВУЛИЦЯ БОЙКІВСЬКА, будинок 5;;intime
1060409;;;;;;;;;;79495, Львівська обл., місто Львів, місто Винники, ВУЛИЦЯ ІВАНА ФРАНКА, будинок 46;;intime
1060410;;;;;;;;;;79019, Львівська обл., місто Львів, Галицький район, ВУЛИЦЯ АКАДЕМІКА ЛЮЛЬКИ, будинок 5;;intime
1060411;;;;;;;;;;79049, Львівська обл., місто Львів, Сихівський район, ВУЛИЦЯ СКРИПНИКА, будинок 39;;intime
1060412;;;;;;;;;;79024, Львівська обл., місто Львів, Личаківський район, ВУЛИЦЯ Б. ХМЕЛЬНИЦЬКОГО, будинок 176;;intime
1060413;;;;;;;;;;79035, Львівська обл., місто Львів, Сихівський район, ВУЛИЦЯ СІЧИНСЬКОГО, будинок 1;;intime
1060414;;;;;;;;;;79040, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ГОРОДОЦЬКА, будинок 355/4;;intime
1060415;;;;;;;;;;81600, Львівська обл., Миколаївський район, місто Миколаїв, ВУЛИЦЯ ШЕПТИЦЬКОГО, будинок 7-А;;intime
1060416;;;;;;;;;;82482, Львівська обл., місто Моршин, ВУЛИЦЯ ПРИВОКЗАЛЬНА, будинок 53-Б;;intime
1060417;;;;;;;;;;81300, Львівська обл., Мостиський район, місто Мостиська, ВУЛИЦЯ ПОЛУБОТКА, будинок 9;;intime
1060418;;;;;;;;;;81652, Львівська обл., місто Новий Розділ, ВУЛИЦЯ ХОДОРІВСЬКА, будинок 8;;intime
1060419;;;;;;;;;;80316, Львівська обл., Жовківський район, місто Рава-Руська, ВУЛИЦЯ Д. ГАЛИЦЬКОГО, будинок 19;;intime
1060420;;;;;;;;;;80200, Львівська обл., Радехівський район, місто Радехів, ВУЛИЦЯ МИШУГИ, будинок 18;;intime
1060421;;;;;;;;;;81400, Львівська обл., місто Самбір, ВУЛИЦЯ КЛИНІВКА, будинок 2-П;;intime
1060422;;;;;;;;;;02090, м.Київ, Дніпровський район, ВУЛИЦЯ АЛМАТИНСЬКА, будинок 2/1;;intime
1060423;;;;;;;;;;82402, Львівська обл., місто Стрий, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 156;;intime
