Повне найменування відокремленного підрозділу;Адреса відокремленного підрозділу;Дата та номер рішення про створення відокремленого підрозділу;ЄДРПОУ;Режим роботи;Платежі приймаються в Платіжній системі;Платежі виплачуються  в Платіжній системі
ВІДДІЛЕННЯ №1330022;03194, м.Київ, Святошинський район, ПРОСПЕКТ ЛЕСЯ КУРБАСА, будинок 15-А;№179/06/05 від 07.06.2018;42256179;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330023;03148, м.Київ, Святошинський район, ВУЛИЦЯ ЯКУТСЬКА, будинок 8;№179/06/05 від 07.06.2018;42256185;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330024;01042, м.Київ, Печерський район, ВУЛИЦЯ АКАДЕМІКА ФІЛАТОВА, будинок 7;№231/06/05 від 25.06.2018;42279108;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330025;03062, м.Київ, Святошинський район, ВУЛИЦЯ ЧИСТЯКІВСЬКА, будинок 30;№179/06/05 від 07.06.2018;42256190;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330026;04201, м.Київ, Оболонський район, ВУЛИЦЯ БЕРЕЖАНСЬКА, будинок 22;№179/06/05 від 07.06.2018;42256206;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330027;02097, м.Київ, Деснянський район, ВУЛИЦЯ МИЛОСЛАВСЬКА, будинок 10-А;№231/06/05 від 25.06.2018;42275297;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330028;02232, м.Київ, Деснянський район, ПРОСПЕКТ ВОЛОДИМИРА МАЯКОВСЬКОГО, будинок 75/2;№231/06/05 від 25.06.2018;42275302;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330029;03150, м.Київ, Голосіївський район, ВУЛИЦЯ КАЗИМИРА МАЛЕВИЧА, будинок 107;№231/06/05 від 25.06.2018;42279113;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330030;03194, м.Київ, Святошинський район, БУЛЬВАР КОЛЬЦОВА, будинок 14-М;№179/06/05 від 07.06.2018;42256211;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330031;02218, м.Київ, Дніпровський район, ВУЛИЦЯ СТАЛЬСЬКОГО, будинок 23;№231/06/05 від 25.06.2018;42283910;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330032;65076, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ ГЕНЕРАЛА ПЕТРОВА, будинок 51;№179/06/05 від 07.06.2018;42256227;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330033;79071, Львівська обл., місто Львів, Личаківський район, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 214;№231/06/05 від 25.06.2018;42275318;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330034;79052, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ШИРОКА, будинок 87;№231/06/05 від 25.06.2018;42279129;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330035;03141, м.Київ, Солом'янський район, ВУЛИЦЯ СОЛОМ'ЯНСЬКА, будинок 40/4;№231/06/05 від 25.06.2018;42279134;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330036;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 7;№231/06/05 від 25.06.2018;42279142;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330037;03115, м.Київ, Святошинський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 87;№179/06/05 від 07.06.2018;42256232;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330038;03126, м.Київ, Оболонський район, ВУЛИЦЯ ГЕРОЇВ СТАЛІНГРАДУ, будинок 46;№231/06/05 від 25.06.2018;42283926;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330039;61001, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ МОЛОЧНА, будинок 1;№179/06/05 від 07.06.2018;42256248;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330040;61118, Харківська обл., місто Харків, Московський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 108;№179/06/05 від 07.06.2018;42256253;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330041;61144, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ГЕРОЇВ ПРАЦІ, будинок 15;№179/06/05 від 07.06.2018;42256269;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330042;49055, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ НОВОКРИМСЬКА, будинок 3-А;№231/06/05 від 25.06.2018;42279155;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330043;49099, Дніпропетровська обл., місто Дніпро, Новокодацький район, ВУЛИЦЯ ЮРІЯ КОНДРАТЮКА, будинок 4;№231/06/05 від 25.06.2018;42275323;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330044;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 18-А;№231/06/05 від 25.06.2018;42275339;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330045;49106, Дніпропетровська обл., місто Дніпро, Соборний район, БУЛЬВАР СЛАВИ, будинок 5;№231/06/05 від 25.06.2018;42279160;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330046;08302, Київська обл., місто Бориспіль, ВУЛИЦЯ ВОЛОДИМИРА МОМОТА, будинок 42/5;№231/06/05 від 25.06.2018;42275344;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330047;07800, Київська обл., Бородянський район, селище міського типу Бородянка, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 343;№231/06/05 від 25.06.2018;42279176;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330048;33003, Рівненська обл., місто Рівне, ВУЛИЦЯ ГАГАРІНА, будинок 16;№179/06/05 від 07.06.2018;42256274;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330049;33016, Рівненська обл., місто Рівне, ВУЛИЦЯ РОМАНА ШУХЕВИЧА, будинок 12;№179/06/05 від 07.06.2018;42256282;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330050;43026, Волинська обл., місто Луцьк, ВУЛИЦЯ КРАВЧУКА, будинок 23;№231/06/05 від 25.06.2018;42275350;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330051;65074, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 33;№179/06/05 від 07.06.2018;42256295;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330052;81652, Львівська обл., місто Новий Розділ, ВУЛИЦЯ ВАСИЛЯ СТУСА , будинок 2-А;№231/06/05 від 25.06.2018;42283931;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330053;02154, м.Київ, Дніпровський район, ВУЛИЦЯ ЕНТУЗІАСТІВ, будинок 7;№231/06/05 від 25.06.2018;42279181;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330054;08133, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ В'ЯЧЕСЛАВА ЧОРНОВОЛА, будинок 46-Б;№179/06/05 від 07.06.2018;42256300;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330055;04053, м.Київ, Шевченківський район, ВУЛИЦЯ СІЧОВИХ СТРІЛЬЦІВ, будинок 37/41;№231/06/05 від 25.06.2018;42283947;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330056;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ СВЯТОШИНСЬКА, будинок 40;№179/06/05 від 07.06.2018;42256316;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330057;04210, м.Київ, Оболонський район, ВУЛИЦЯ МАЛИНОВСЬКОГО, будинок 25;№231/06/05 від 25.06.2018;42283952;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330058;20001, Черкаська обл., Христинівський район, місто Христинівка, ВУЛИЦЯ УКРАЇНСЬКА, будинок 39;№231/06/05 від 25.06.2018;42283968;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330059;02089, м.Київ, Дніпровський район, ПРОСПЕКТ БРОВАРСЬКИЙ, будинок 51;№231/06/05 від 25.06.2018;42279197;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330060;04214, м.Київ, Оболонський район, ВУЛИЦЯ ПІВНІЧНА, будинок 46;№231/06/05 від 25.06.2018;42279202;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330061;03124, м.Київ, Солом'янський район, БУЛЬВАР ВАЦЛАВА ГАВЕЛА, будинок 29;№231/06/05 від 25.06.2018;42279218;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330062;03126, м.Київ, Солом'янський район, ВУЛИЦЯ ГАВЕЛА ВАЦЛАВА, будинок 83;№179/06/05 від 07.06.2018;42256321;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330063;08136, Київська обл., Києво-Святошинський район, село Крюківщина, ВУЛИЦЯ ЖУЛЯНСЬКА, будинок 1-А;№231/06/05 від 25.06.2018;42283973;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330064;08600, Київська обл., місто Васильків, ВУЛИЦЯ СОБОРНА, будинок 64/1;№231/06/05 від 25.06.2018;42283989;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330065;03143, м.Київ, Голосіївський район, ВУЛИЦЯ МЕТРОЛОГІЧНА, будинок 14-Б;№231/06/05 від 25.06.2018;42279223;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330066;65069, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ КРИМСЬКА, будинок 71;№179/06/05 від 07.06.2018;42256337;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330067;65111, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕНЕРАЛА БОЧАРОВА, будинок 44;№231/06/05 від 25.06.2018;42279239;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330068;65111, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕНЕРАЛА БОЧАРОВА, будинок 13-А;№179/06/05 від 07.06.2018;42256342;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330069;46023, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ 15-ГО КВІТНЯ, будинок 5-А;№231/06/05 від 25.06.2018;42275365;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330070;02096, м.Київ, Дарницький район, ВУЛИЦЯ ЯЛТИНСЬКА, будинок 6;№179/06/05 від 07.06.2018;42256358;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330071;04107, м.Київ, Шевченківський район, ВУЛИЦЯ ТАТАРСЬКА, будинок 3/2;№179/06/05 від 07.06.2018;42256363;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330072;03134, м.Київ, Святошинський район, ВУЛИЦЯ БУЛГАКОВА, будинок 11;№231/06/05 від 25.06.2018;42279244;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330073;08631, Київська обл., Васильківський район, селище міського типу Глеваха, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 18-А;№179/06/05 від 07.06.2018;42256379;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330074;17000, Чернігівська обл., Козелецький район, селище міського типу Козелець, ВУЛИЦЯ СОБОРНОСТІ, будинок 53/1;№231/06/05 від 25.06.2018;42283994;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330075;04108, м.Київ, Подільський район, ВУЛИЦЯ НОВОМОСТИЦЬКА, будинок 2;№231/06/05 від 25.06.2018;42275370;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330076;02125, м.Київ, Дніпровський район, ВУЛИЦЯ ПЕТРА ЗАПОРОЖЦЯ, будинок 28;№179/06/05 від 07.06.2018;42256384;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330077;08630, Київська обл., Васильківський район, селище міського типу Глеваха, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 42;№179/06/05 від 07.06.2018;42256396;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330078;73034, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ УШАКОВА, будинок 49;№179/06/05 від 07.06.2018;42256405;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330079;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ СКВИРСЬКЕ ШОСЕ, будинок 260-А;№179/06/05 від 07.06.2018;42256410;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330080;88018, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ГЕНЕРАЛА СВОБОДИ, будинок 9-Б;№231/06/05 від 25.06.2018;42275386;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330081;02091, м.Київ, Дарницький район, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ, будинок 168;№179/06/05 від 07.06.2018;42256426;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330082;40000, Сумська обл., місто Суми, Ковпаківський район, ВУЛИЦЯ КООПЕРАТИВНА, будинок 1;№179/06/05 від 07.06.2018;42256431;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330083;08160, Київська обл., Києво-Святошинський район, село Гатне, ВУЛИЦЯ ІНСТИТУТСЬКА, будинок 16;№179/06/05 від 07.06.2018;42256447;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330084;07363, Київська обл., Вишгородський район, село Хотянівка, ВУЛИЦЯ ВАЛОВА, будинок 2-В;№231/06/05 від 25.06.2018;42275391;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330085;61204, Харківська обл., місто Харків, Шевченківський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 64;№179/06/05 від 07.06.2018;42256452;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330086;61183, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 279-А;№179/06/05 від 07.06.2018;42256468;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330087;61096, Харківська обл., місто Харків, Слобідський район, ПРОСПЕКТ ГЕРОЇВ СТАЛІНГРАДУ, будинок 171;№179/06/05 від 07.06.2018;42256473;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330088;49018, Дніпропетровська обл., місто Дніпро, Новокодацький район, ВУЛИЦЯ МЕТРОБУДІВСЬКА, будинок 19;№231/06/05 від 25.06.2018;42279256;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330089;02192, м.Київ, Дніпровський район, БУЛЬВАР ДАРНИЦЬКИЙ, будинок 8-А;№179/06/05 від 07.06.2018;42256489;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330090;04119, м.Київ, Шевченківський район, ВУЛИЦЯ ДОРОГОЖИЦЬКА, будинок 2;№179/06/05 від 07.06.2018;42256494;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330091;04123, м.Київ, Подільський район, ВУЛИЦЯ ЗАПАДИНСЬКА, будинок 15;№179/06/05 від 07.06.2018;42256503;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330092;02094, м.Київ, Деснянський район, ПРОВУЛОК КАРЕЛЬСЬКИЙ, будинок 3;№179/06/05 від 07.06.2018;42256515;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330093;04210, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 34;№179/06/05 від 07.06.2018;42256520;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330094;04212, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 5;№179/06/05 від 07.06.2018;42256536;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330095;02002, м.Київ, Дніпровський район, ВУЛИЦЯ МИТРОПОЛИТА АНДРЕЯ ШЕПТИЦЬКОГО, будинок 4;№179/06/05 від 07.06.2018;42256541;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330096;16600, Чернігівська обл., м.Ніжин, вул. Шевченка, 21-А;№179/06/05 від 07.06.2018;42256557;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330097;18007, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ НАДПІЛЬНА, будинок 411;№231/06/05 від 25.06.2018;42279265;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330098;65009, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ ФОНТАНСЬКА ДОРОГА, будинок 17/19;№231/06/05 від 25.06.2018;42279270;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330099;39631, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ КИЇВСЬКА, будинок 66-Г;№231/06/05 від 25.06.2018;42279286;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330100;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ ГЕРОЇВ НЕБЕСНОЇ СОТНІ, будинок 2-А;№231/06/05 від 25.06.2018;42284008;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330101;09502, Київська обл., Таращанський район, місто Тараща, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 6;№231/06/05 від 25.06.2018;42279291;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330102;08325, Київська обл., Бориспільський район, село Щасливе, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ, будинок 15;№231/06/05 від 25.06.2018;42275407;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330103;07452, Київська обл., Броварський район, село Гоголів, ВУЛИЦЯ КИЇВСЬКА, будинок 167-Г;№179/06/05 від 07.06.2018;42256562;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330104;07416, Київська обл., Броварський район, село Погреби, ВУЛИЦЯ СОБОРНА, будинок 2;№179/06/05 від 07.06.2018;42256578;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330105;03131, м.Київ, Голосіївський район, ВУЛИЦЯ ЦІЛИННА, будинок 2-А;№231/06/05 від 25.06.2018;42284013;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330106;08131, Київська обл., Києво-Святошинський район, село Софіївська Борщагівка, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 20-А;№179/06/05 від 07.06.2018;42256583;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330107;07354, Київська обл., Вишгородський район, село Нові Петрівці, ВУЛИЦЯ СВЯТО-ПОКРОВСЬКА, будинок 222;№231/06/05 від 25.06.2018;42275412;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330108;07420, Київська обл., Броварський район, селище міського типу Калита, ВУЛИЦЯ МИРУ, будинок 45;№231/06/05 від 25.06.2018;42279307;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
